Name	Location
SERTM1	13q13.3
CLEC4F	2p13.3
FBXO21	12q24.22
KRTAP19-1	21q22.11
MPPE1	18p11.21
SCARF2	22q11.21
NBPF15	1q21.1
GSTA1	6p12.2
SLC25A15	13q14.11
CD83	6p23
LOC100499227	11q23.3
C20orf194	20p13
PHC3	3q26.2
UOX	1p31.1
RHCE	1p36.11
UQCRC1	3p21.31
CALML6	1p36.33
HMHA1	19p13.3
GTF2IRD1	7q11.23
LINC00333	13q31.1
GLIS1	1p32.3
EMILIN2	18p11.32-p11.31
NUMB	14q24.2-q24.3
HIST1H2BJ	6p22.1
ZDHHC7	16q24.1
MIR3926-2	8p23.1
CPVL	7p14.3
LOC100287010	2q12.1
NEK1	4q33
C9orf57	9q21.13
ERAP2	5q15
OR11A1	6p22.1
MIR31	9p21.3
SIM1	6q16.3
C10orf54	10q22.1
SPA17	11q24.2
WDR93	15q26.1
DICER1-AS1	14q32.13
ZMYM1	1p34.3
LOC286083	8p23.3
NAT8L	4p16.3
HOMER2	15q25.2
TMEM74	8q23.1
COBRA1	9q34.3
LOC100131434	Xq28
ASS1	9q34.11
CNFN	19q13.2
TP73	1p36.32
OR52J3	11p15.4
DDRGK1	20p13
CCDC113	16q21
AADACL2	3q25.1
LOC400456	15q26.2
LRRTM4	2p12
TUSC3	8p22
SOX2	3q26.33
FLJ37035	10q26.2
MIR4442	3p24.2
TPGS1	19p13.3
FSTL3	19p13.3
CYCS	7p15.3
NFKBIB	19q13.2
MAGEB18	Xp21.3
MYH2	17p13.1
ATF7IP	12p13.1
COL6A6	3q22.1
FUNDC2P2	2p11.2
HLF	17q22
CCNC	6q16.2
TMEM155	4q27
GSC	14q32.13
MYST4	10q22.2
GPBP1L1	1p34.1
DAND5	19p13.13
ARRB2	17p13.2
NCS1	9q34.11
NDUFA8	9q33.2
RAD51L1	14q24.1
HYAL3	3p21.31
MIR3922	12q23.3
RAB13	1q21.3
MIR3117	1p31.3
CALHM1	10q24.33
NXPE3	3q12.3
IRAK2	3p25.3
FAM153B	5q35.2
SLC3A2	11q12.3
COIL	17q22
C22orf13	22q11.23
PP12613	4q27
LILRA1	19q13.42
C1QTNF3	5p13.2
PLEKHG2	19q13.2
SNX15	11q13.1
NUDT2	9p13.3
FAM160A1	
MIR516A1	19q13.42
CREG1	1q24.2
OR5T2	11q12.1
RASL11B	4q12
CAPN1	11q13.1
ZDHHC6	10q25.2
ZNF532	18q21.32
SLC35E1	19p13.11
MAGI1-AS1	3p14.1
NSUN3	3q11.2
IGF1	12q23.2
ABCC5	3q27.1
PAIP2B	2p13.3
VPREB3	22q11.23; 22q11
MIR199A2	1q24.3
SLC35F3	1q42.2
NRL	14q11.2-q12
TAF10	11p15.4
FGL2	7q11.23
MPPED2	11p14.1
EXOC3L2	19q13.32
NOP9	14q12
TMED7-TICAM2	5q22.3
CYB5A	18q22.3
NEUROD1	2q31.3
FUT5	19p13.3
SNAP91	6q14.2
LOC100272228	Xq28
CLEC18A	16q22.1
MIR553	1p21.2
CAPN12	19q13.2
SLC12A9	7q22.1
FN3KRP	17q25.3
SCAF11	12q12
HNF1A	12q24.31
SNRPB2	20p12.1
JPX	Xq13.2
LOC286177	8q12.1
EXOC3L1	16q22.1
PRIMA1	14q32.12
CST4	20p11.21
10-Sep	
LOC400027	12q12
NRG4	15q24.2
EBLN2	3p13
IFT122	3q21.3-q22.1
BAHD1	15q15.1
EFNA3	1q21.3
SSH3	11q13.2
DCUN1D3	16p12.3
ANKLE2	12q24.33
FLCN	17p11.2
G6PC3	17q21.31
NPBWR1	8q11.23
SNORD115-19	15q11.2
CXADRP3	18p11.21
DOC2A	16p11.2
NIT1	1q23.3
RLTPR	16q22.1
C15orf56	15q15.1
ENTPD1	10q24.1
OR2M5	1q44
KCTD5	16p13.3
SBDSP1	7q11.23
EMID1	22q12.2
GP1BA	17p13.2
CCDC155	19q13.33
PHRF1	11p15.5
ARID5A	2q11.2
MIR9-3	15q26.1
OR4P4	11q11
FAM171B	2q32.1
FRMD6	14q22.1
SKA2	17q22
LOC100500773	8q22.1
RBMX2	Xq26.1
MOB3A	19p13.3
LOC100287792	20q11.23
CBLN2	18q22.3
NDUFAF4P1	15q21.1
CPEB1	15q25.2
HOOK3	8p11.21
CRK	17p13.3
P2RX7	12q24.31
MIR500A	Xp11.23
IL8	4q13.3
FZD5	2q33.3
VPS51	11q13.1
AP2B1	17q12
OR4F15	15q26.3
C8orf4	8p11.21
C9orf135	9q21.12
FAM83F	22q13.1
RBM47	4p14
ATP10A	15q12
NUP98	11p15.4
MIR4516	16p13.3
FAM71F2	7q32.1
CCT6B	17q12
RGMA	15q26.1
FAM57B	16p11.2
MIR3907	7q36.1
GATA5	20q13.33
LINC00339	1p36.12
CA9	9p13.3
GGTLC1	20p11.21
OTUD7A	15q13.3
KIF9	3p21.31
CCHCR1	6p21.33
NOL10	2p25.1
RSPRY1	16q13
NTF4	19q13.33
LOC100505978	12q23.3
EPB49	8p21.3
OR11H2	14q11.2
SNORD97	11p15.4
DNAH6	2p11.2
PABPC1L	20q13.12
KCNK9	8q24.3
CDIPT	16p11.2
WDR52	3q13.2
DYNLT1	6q25.3
ZCCHC6	9q21.33
RNF183	9q32
SCRN2	17q21.32
LINC00320	21q21.1
COX7C	5q14.3
DCAF17	2q31.1
RBPMS2	15q22.31
MIR4782	2q14.1
AURKAIP1	1p36.33
FGF11	17p13.1
LOC440600	1p13.3
ARHGAP21	10p12.1; 10p12.3
TPM1	15q22.2
TRMT44	4p16.1
SEC22C	3p22.1
EFNA2	19p13.3
CREB3	9p13.3
TTN	2q31.2
LOC100507577	
R3HDM1	2q21.3
ZNF430	19p12
LOC100507433	19q13.12
MIR518F	19q13.42
ATP1A1OS	1p13.1
CCDC83	11q14.1-q14.2
GAGE2A	Xp11.23
LOC100272216	12q24.31
CORO1C	12q24.11
SYTL1	1p36.11
PRH2	12p13.2
HERC2	15q13.1
FAM190A	4q22.1
LINC00657	20q11.23
PIANP	12p13.31
ARPC2	2q35
ASIC1	12q13.12
MYL4	17q21.32
MIR628	15q21.3
IBSP	4q22.1
RNASE2	14q11.2
ERMAP	1p34.2
KCNQ5	6q13
POM121L12	7p12.1
OCSTAMP	20q13.12
LOC100190986	16p12.2
KIAA0586	14q23.1
PPFIBP2	11p15.4
SNORD90	9q33.2
LMBR1L	12q13.12
EID2B	19q13.2
LCN8	9q34.3
NME9	3q22.3
PAX6	11p13
NUAK2	1q32.1
KLRB1	12p13.31
ZDHHC21	9p22.3
LINC00297	13q12.3
BIRC8	19q13.42
TREML1	6p21.1
SNORA2B	12q13.11
WFDC10A	20q13.12
PCDHGA5	5q31.3
PPP1R1B	17q12
TAS1R3	1p36.33
JMJD8	16p13.3
MAP3K1	5q11.2
TTLL5	14q24.3
OR5AN1	11q12.1
SBSN	19q13.12
C22orf46	22q13.2
SLC36A2	5q33.1
GNL1	6p21.33
TNXB	6p21.33-p21.32
P2RY14	3q25.1
SNORD114-4	14q32.31
PRDM10	11q24.3
RFPL1-AS1	22q12.2
PHF17	4q28.2
LPAR1	9q31.3
LY6G5C	6p21.33
MRPS25	3p25.1
CDR2L	17q25.1
TCAM1P	17q23.3
LHFPL5	6p21.31
CPLX3	15q24.1
LOC100270746	6p22.2
HMX2	10q26.13
CLGN	4q31.1
NMT1	17q21.31
OR56B1	11p15.4
UGT2B28	4q13.2
SPRY4	5q31.3
SNORD116-20	15q11.2
PITX2	4q25
F10	13q34
RPRD1B	20q11.23
NKX1-2	10q26.13
ZCCHC8	12q24.31
FAM41C	1p36.33
PRLHR	10q26.11
SMAD3	15q22.33
MIR1289-2	5q31.1
ARHGEF12	11q23.3
NBPF14	1q21.2
RPS24	10q22.3
ANKRD30B	18p11.21
FAM133DP	2q24.1
JAM3	11q25
TCEAL4	Xq22.2
ANP32A-IT1	15q23
MRPL55	1q42.13
GRM5-AS1	11q14.2
DCTN4	5q33.1
SLC6A18	5p15.33
HAND2	4q34.1
ADAMTS9-AS2	3p14.1
NAPSB	
COL13A1	10q22.1
DHX40	17q23.1
PIBF1	13q21.33-q22.1
HPCA	1p35.1
ZNF302	19q13.11
KRTAP10-7	21q22.3
MKRN1	7q34
OR51D1	11p15.4
OR4S2	11q11
ZBTB8A	1p35.1
MRPL45	17q12
CKMT1B	15q15.3
TM9SF1	14q12
TFAM	10q21.1
LOC100130899	
ISG15	1p36.33
HRH1	3p25.3
CELA2B	1p36.21
LOC154822	7q36.3
KCNJ12	17p11.2
CTBS	1p22.3
FUT8	14q23.3
TMEM200A	6q23.1
SMAP2	1p34.2
MIR3960	9q34.11
ZSCAN21	7q22.1
POGLUT1	3q13.33
TMEM184A	7p22.3
SNORD116-28	15q11.2
RING1	6p21.32
RPL39L	3q27.3
NBPF4	1p13.3
NABP2	12q13.3
MSL2	3q22.3
TRERF1	6p21.1
CARKD	13q34
YBEY	21q22.3
LINC00633	Xq26.3
LOC389023	2q14.1
PSMB4	1q21.3
SGPP2	2q36.1
C1orf233	1p36.33
LOC399708	10p15.3
TUBG1	17q21.2
ZNF567	19q13.12
ZDHHC8	22q11.21
ZKSCAN5	7q22.1
LOC440700	1q24.1
VDAC3	8p11.21
DKK2	4q25
AZU1	19p13.3
C17orf104	17q21.31
KCTD16	5q31.3
NDUFAF4	6q16.1
LINC00398	13q12.3
LOC100133957	Xp11.23
ASIC3	7q36.1
SLC4A1AP	2p23.3
NLGN3	Xq13.1
FAU	11q13.1
PTPRK	6q22.33
LOC401980	
FAP	2q24.2
CCT6P3	7q11.21
RAB40B	17q25.3
ANKHD1	5q31.3
PLK1S1	20p11.23
THEM4	1q21.3
MIR5002	3q21.2
KLRC2	12p13.2
MIR564	3p21.31
ABHD10	3q13.2
CYP20A1	2q33.2
